id;en;pt_BR;ja
mode_str;Mode;Modo;モード
chose_mode_str;Choose Mode;Escolha o Modo;モードを選択
standings_str;Standings;Classificações;総合優勝
choose_standings_csv_str;Choose a STANDINGS.CSV;ESCOLHA UM STANDINGS.CSV;「STANDINGS.CSV」ファイルを選択してください
not_a_valid_standings_csv_str;Not a valid standings.csv.;Não é um standings.csv válido.;
heroes_str;Heroes;Heróis;ヒーロー
choose_heroes_csv_str;Choose a HEROES.CSV;ESCOLHA UM HEROES.CSV;「HEROES.CSV」ファイルを選択してください
not_a_valid_heroes_csv_str;Not a valid heroes.csv.;Não é um heroes.csv válido.;
store_name_str;Store name;Nome da loja;店舗名
ready_str;Ready!;Pronto!;準備OK！
cc_str;CLASSIC CONSTRUCTED;CLASSIC CONSTRUCTED;クラシック
standings_title_str;STANDINGS;CLASSIFICAÇÕES;総合優勝
sage_str;SILVER AGE;SILVER AGE;シルバーエイジ
loading_assets_str;Loading assets;Carregando assets...;
loading_assets_finished_str;Loading complete!;Carregamento completo!;
menu_standings;STANDINGS;CLASSIFICAÇÕES;
sealed_str;SEALED;SELADO;
draft_str;DRAFT;DRAFT;
store_str;Store name;Nome da loja;
pre_release_usurp_str;USURP THE SHADOW THRONE;USURP THE SHADOW THRONE;
menu_settings;SETTINGS;OPÇÕES;
language_str;Language;Idioma;
theme_str;Theme;Tema;
13dominate_theme_str;13 Dominate Theme;Tema 13 Dominate;
usurp_theme_str;Usurp The Shadow Throne Theme;Tema Usurp The Shadow Throne;
custom_color_str;Custom Color;Cor Customizavel;
color1_str;Color 1;Cor 1;
color2_str;Color 2;Cor 2;
heroes_csv_error_load;Not a valid heroes.csv. Please, try again.;Não é um heroes.csv válido. Por favor, tente novamente.;
checking_new_update_str;Checking for new updates...;Verificando por novas atualizações...;
new_update_str;New update detected.;Nova atualização disponível.;
already_latest_version_str;Already with the latest version;Aplicativo já com a última versão.;
error_standings_csv_str;Error with standings.csv;Erro com standings.csv;
error_heroes_csv_str;Error with heroes.csv;Erro com heroes.csv;
error_player_id_mismatch_str;The PLAYERs ID on each .csv doesn't match;Os IDs dos JOGADORES em cada .csv não são iguais.;
share_standings_msg_str;Today's standings!;As classificações de hoje!;
loading_str;Loading...;Carregando...;
choose_language_str;Choose language;Escolha o idioma
13_dominate_theme_str;13 Dominate Theme (Default);Tema 13 Dominate (Padrão)
credits_str;Credits;Créditos
github_repo_link_str;Link for the Github Repo;Link para o repo do Github
